team_id,team_name,rl_ids,team_crest,team_url
2wZHnGDH,Nordsjaelland,DENMARK_SUPERLIGA___ROUND_19,https://static.flashscore.com/res/image/data/nuSqtrjl-QqCnhlpU.png,https://www.flashscore.com/team/nordsjaelland/2wZHnGDH/
42ectuVa,Sonderjyske,DENMARK_SUPERLIGA___ROUND_19,https://static.flashscore.com/res/image/data/lOIdvbxS-jTh33WB7.png,https://www.flashscore.com/team/sonderjyske/42ectuVa/
ncCrJwbI,Budafoki,HUNGARY_NB_II.___ROUND_17,https://static.flashscore.com/res/image/data/vwtZ3eyB-A5kBMfAs.png,https://www.flashscore.com/team/budafoki-mte/ncCrJwbI/
fHXrBYWe,Honved,HUNGARY_NB_II.___ROUND_17,https://static.flashscore.com/res/image/data/jHYI6seM-0bbECxUd.png,https://www.flashscore.com/team/honved/fHXrBYWe/
IR6wGG9k,Darnes,LIBYA_PREMIER_LEAGUE___ROUND_9,https://static.flashscore.com/res/image/data/d4sQlueM-zk4aE9AK.png,https://www.flashscore.com/team/darnes/O86tie4p/
O86tie4p,Al-Anwar,LIBYA_PREMIER_LEAGUE___ROUND_9,https://static.flashscore.com/res/image/data/v1Pwk8g5-UNk9hvUA.png,https://www.flashscore.com/team/al-anwar/IR6wGG9k/
llLECalm,Ham-Kam U19,NORWAY_NASJONAL_U19_CL___ROUND_2,https://static.flashscore.com/res/image/data/ripnkNZA-viQDCQMO.png,https://www.flashscore.com/team/ham-kam/OxKA1qME/
OxKA1qME,Fredrikstad U19,NORWAY_NASJONAL_U19_CL___ROUND_2,https://static.flashscore.com/res/image/data/xr5sEQEG-2TR9D67I.png,https://www.flashscore.com/team/fredrikstad/llLECalm/
xvlutr9k,Gicumbi,RWANDA_PREMIER_LEAGUE,https://static.flashscore.com/res/image/data/G0bY6CxS-OnWab9yA.png,https://www.flashscore.com/team/gicumbi/lWbeaW9A/
lWbeaW9A,Amagaju,RWANDA_PREMIER_LEAGUE,https://static.flashscore.com/res/image/data/fN3iWlZA-8Y2rT0sN.png,https://www.flashscore.com/team/amagaju/xvlutr9k/
rsn2kwrL,Hibernian W,SCOTLAND_SWPL_1_WOMEN___ROUND_17,https://static.flashscore.com/res/image/data/zRsWDtGG-MRczYjyO.png,https://www.flashscore.com/team/hibernian/rsn2kwrL/
bk6V7D54,Motherwell W,SCOTLAND_SWPL_1_WOMEN___ROUND_17,https://static.flashscore.com/res/image/data/IPlUSmXg-lGG6JDDB.png,https://www.flashscore.com/team/motherwell/bk6V7D54/
QyHHzdwl,Valladolid,SPAIN_LALIGA2___ROUND_25,https://static.flashscore.com/res/image/data/pCJjU8yB-htRvrFH6.png,https://www.flashscore.com/team/valladolid/zkpajjvm/
zkpajjvm,Castellon,SPAIN_LALIGA2___ROUND_25,https://static.flashscore.com/res/image/data/lxWg57g5-zBFXR8iF.png,https://www.flashscore.com/team/castellon/QyHHzdwl/
Ov2LFx62,Servette,SWITZERLAND_SUPER_LEAGUE___ROUND_23,https://static.flashscore.com/res/image/data/ADJQpbh5-vJvKsfHT.png,https://www.flashscore.com/team/servette/Ov2LFx62/
4WElAd9p,Thun,SWITZERLAND_SUPER_LEAGUE___ROUND_23,https://static.flashscore.com/res/image/data/A7C06hf5-xbUiUE46.png,https://www.flashscore.com/team/thun/4WElAd9p/
YeeY7sb7,Dodoma Jiji,TANZANIA_LIGI_KUU_BARA___ROUND_16,https://static.flashscore.com/res/image/data/d0npsVh5-0SL5ozs0.png,https://www.flashscore.com/team/dodoma-jiji/YeeY7sb7/
OfxyFWsl,Kinondoni MC,TANZANIA_LIGI_KUU_BARA___ROUND_16,https://static.flashscore.com/res/image/data/44pu3pg5-pzrVpTTm.png,https://www.flashscore.com/team/kinondoni-mc/OfxyFWsl/
C2lt6Igm,CS Sfaxien,TUNISIA_LIGUE_PROFESSIONNELLE_1___ROUND_20,https://static.flashscore.com/res/image/data/p8kZTpYg-8QjOsK1t.png,https://www.flashscore.com/team/cs-sfaxien/2BJIkFqL/
2BJIkFqL,Club Africain,TUNISIA_LIGUE_PROFESSIONNELLE_1___ROUND_20,https://static.flashscore.com/res/image/data/MmqUP4GG-bob4M53H.png,https://www.flashscore.com/team/club-africain/C2lt6Igm/
EFY2qsJc,Sohar,OMAN_PROFESSIONAL_LEAGUE___ROUND_13,https://static.flashscore.com/res/image/data/KE65ssFG-lzFPYVm9.png,https://www.flashscore.com/team/sohar/EFY2qsJc/
fRoavPcE,Sur Club,OMAN_PROFESSIONAL_LEAGUE___ROUND_13,https://static.flashscore.com/res/image/data/AkhAuOZA-QBtY82ON.png,https://www.flashscore.com/team/sur-club/fRoavPcE/
ER0XiGC0,Altach,AUSTRIA_BUNDESLIGA___ROUND_18,https://static.flashscore.com/res/image/data/42Zzu6Wg-zgOmlRAG.png,https://www.flashscore.com/team/altach/ER0XiGC0/
KIrFH87n,BW Linz,AUSTRIA_BUNDESLIGA___ROUND_18,https://static.flashscore.com/res/image/data/0lL9EhyB-6ovmkrPK.png,https://www.flashscore.com/team/bw-linz/KIrFH87n/
rVfjdq9o,AlbinoLeffe,ITALY_SERIE_C___GROUP_A___ROUND_25,https://static.flashscore.com/res/image/data/tza6r7dM-dxYsidUO.png,https://www.flashscore.com/team/albinoleffe/rVfjdq9o/
z7SoCKCQ,Pro Patria,ITALY_SERIE_C___GROUP_A___ROUND_25,https://static.flashscore.com/res/image/data/Kj07LQEG-xflVFLdE.png,https://www.flashscore.com/team/pro-patria/z7SoCKCQ/
G63MpFC5,Al Hilal Manaqil,SUDAN_PREMIER_LEAGUE,https://static.flashscore.com/res/image/data/fyEo5xeM-vNEevJH1.png,https://www.flashscore.com/team/al-hilal-manaqil/G63MpFC5/
zJPeRwp8,Rabita Kosti,SUDAN_PREMIER_LEAGUE,https://static.flashscore.com/res/image/data/4EhgE3Cr-Ygsd4y40.png,https://www.flashscore.com/team/rabita-kosti/zJPeRwp8/
Ys2Mm9XC,Qatar U20,WORLD_FRIENDLY_INTERNATIONAL,https://static.flashscore.com/res/image/data/S23PLpdM-phc5aQcO.png,https://www.flashscore.com/team/qatar/Ys2Mm9XC/
URfSCEoD,United Arab Emirates U20,WORLD_FRIENDLY_INTERNATIONAL,https://static.flashscore.com/res/image/data/tt4GbLzB-OOVIImbn.png,https://www.flashscore.com/team/united-arab-emirates/URfSCEoD/
2XrRecc3,Brighton,ENGLAND_PREMIER_LEAGUE___ROUND_25,https://static.flashscore.com/res/image/data/40juIezB-b92lfEJC.png,https://www.flashscore.com/team/brighton/2XrRecc3/
AovF1Mia,Crystal Palace,ENGLAND_PREMIER_LEAGUE___ROUND_25,https://static.flashscore.com/res/image/data/AFNlsDzS-pzMOQXRe.png,https://www.flashscore.com/team/crystal-palace/AovF1Mia/
GIR5AAUn,Santa Green,BOTSWANA_PREMIER_LEAGUE___ROUND_19,https://static.flashscore.com/res/image/data/ALcR9RDa-zmu44UuH.png,https://www.flashscore.com/team/santa-green/zet5dC15/
zet5dC15,Centre Chiefs,BOTSWANA_PREMIER_LEAGUE___ROUND_19,https://static.flashscore.com/res/image/data/KSHBagYA-2BxvuElH.png,https://www.flashscore.com/team/centre-chiefs/GIR5AAUn/
448T3rTI,Varazdin,CROATIA_HNL___ROUND_21,https://static.flashscore.com/res/image/data/I3Ae1kZA-CCW2Z0Rb.png,https://www.flashscore.com/team/varazdin/Wv0GNPrm/
Wv0GNPrm,Osijek,CROATIA_HNL___ROUND_21,https://static.flashscore.com/res/image/data/nNYioZhl-OKctcAHF.png,https://www.flashscore.com/team/osijek/448T3rTI/
4lUZQCQq,APOEL,CYPRUS_CYPRUS_LEAGUE___ROUND_21,https://static.flashscore.com/res/image/data/6eTv2lCr-dM5j1Xkq.png,https://www.flashscore.com/team/apoel/OKJwmfm3/
OKJwmfm3,AEK Larnaca,CYPRUS_CYPRUS_LEAGUE___ROUND_21,https://static.flashscore.com/res/image/data/Ot5VROHG-rgYuXGKm.png,https://www.flashscore.com/team/aek-larnaca/4lUZQCQq/
ro3DSjf2,Lyon W,FRANCE_PREMIERE_LIGUE_WOMEN___ROUND_15,https://static.flashscore.com/res/image/data/29unvygl-lQ79UTyq.png,https://www.flashscore.com/team/lyon/ro3DSjf2/
foAoSLaL,St Etienne W,FRANCE_PREMIERE_LIGUE_WOMEN___ROUND_15,https://static.flashscore.com/res/image/data/nFWiTiBr-dGdlku5l.png,https://www.flashscore.com/team/st-etienne/foAoSLaL/
ANpZncAM,Panserraikos,GREECE_SUPER_LEAGUE___ROUND_20,https://static.flashscore.com/res/image/data/EwjQjwyB-8OJEOksa.png,https://www.flashscore.com/team/panserraikos/YqtVj85g/
YqtVj85g,AEK Athens,GREECE_SUPER_LEAGUE___ROUND_20,https://static.flashscore.com/res/image/data/vHCp8QeM-Aq4Rjd2q.png,https://www.flashscore.com/team/aek/ANpZncAM/
GQ9U7c4T,Hafnarfjordur W,ICELAND_LEAGUE_CUP_WOMEN___ROUND_1,https://static.flashscore.com/res/image/data/KrcJK9Ar-U3LllPAj.png,https://www.flashscore.com/team/hafnarfjordur/ED8tmWnM/
ED8tmWnM,Grindavik/Njardvik W,ICELAND_LEAGUE_CUP_WOMEN___ROUND_1,https://static.flashscore.com/res/image/data/08lzPhzB-Qqr1pxYk.png,https://www.flashscore.com/team/grindavik-njardvik/GQ9U7c4T/
A332L1f5,Monza,ITALY_SERIE_B___ROUND_23,https://static.flashscore.com/res/image/data/SUTtpvDa-8zvPU7k3.png,https://www.flashscore.com/team/monza/4YSMlwj7/
4YSMlwj7,Avellino,ITALY_SERIE_B___ROUND_23,https://static.flashscore.com/res/image/data/jDqtEszB-dp0XifTb.png,https://www.flashscore.com/team/avellino/A332L1f5/
x6Gk5894,Juventus U20,ITALY_PRIMAVERA_1___ROUND_24,https://static.flashscore.com/res/image/data/jJZSR9HG-GtNb9h2q.png,https://www.flashscore.com/team/juventus/x6Gk5894/
KrX7Gyx7,Verona U20,ITALY_PRIMAVERA_1___ROUND_24,https://static.flashscore.com/res/image/data/KdjM3dBr-6uyXbx77.png,https://www.flashscore.com/team/verona/KrX7Gyx7/
v9ycT7TE,Machokha,LESOTHO_PREMIER_LEAGUE___ROUND_18,https://static.flashscore.com/res/image/data/hMAwbZxS-GEh10UgP.png,https://www.flashscore.com/team/machokha/GQDfUTHj/
GQDfUTHj,LMPS,LESOTHO_PREMIER_LEAGUE___ROUND_18,https://static.flashscore.com/res/image/data/2yVqCnjl-U3Hcth5Q.png,https://www.flashscore.com/team/lmps/v9ycT7TE/
O4ORhR6N,Jeunesse Esch,LUXEMBOURG_BGL_LIGUE___ROUND_16,https://static.flashscore.com/res/image/data/r5w26Mhl-IDTUhVTJ.png,https://www.flashscore.com/team/jeunesse-esch/xEsd9oqh/
xEsd9oqh,Bissen,LUXEMBOURG_BGL_LIGUE___ROUND_16,https://static.flashscore.com/res/image/data/d6bgILDa-xp9MKGr2.png,https://www.flashscore.com/team/bissen/O4ORhR6N/
nTlVS1jS,Fiorentino,SAN_MARINO_CAMPIONATO_SAMMARINESE___ROUND_20,https://static.flashscore.com/res/image/data/O4jUOqAr-h8gApWqJ.png,https://www.flashscore.com/team/fiorentino/nTlVS1jS/
ARyhbSD9,Folgore,SAN_MARINO_CAMPIONATO_SAMMARINESE___ROUND_20,https://static.flashscore.com/res/image/data/2L8cuazB-WSoqOAv8.png,https://www.flashscore.com/team/folgore/ARyhbSD9/
WG9pOTse,FC Koln,GERMANY_BUNDESLIGA___ROUND_21,https://static.flashscore.com/res/image/data/8hxnRHEa-86lnAaq9.png,https://www.flashscore.com/team/1-fc-koln/WG9pOTse/
KbS1suSm,RB Leipzig,GERMANY_BUNDESLIGA___ROUND_21,https://static.flashscore.com/res/image/data/02lwXYkl-WvvSE8Dm.png,https://www.flashscore.com/team/rb-leipzig/KbS1suSm/
8fXi1zgC,Kano Pillars,NIGERIA_NPFL___ROUND_25,https://static.flashscore.com/res/image/data/p2HwVgDa-SMiiurvd.png,https://www.flashscore.com/team/kano-pillars/8fXi1zgC/
zkQvu47B,Remo Stars,NIGERIA_NPFL___ROUND_25,https://static.flashscore.com/res/image/data/SOmVd0ZA-jZRvn4Ng.png,https://www.flashscore.com/team/remo-stars/zkQvu47B/
Uu7c0kf9,Zilina,SLOVAKIA_NIKE_LIGA___ROUND_19,https://static.flashscore.com/res/image/data/40RplbCa-xGFNNID8.png,https://www.flashscore.com/team/zilina/8tSMqaer/
8tSMqaer,Komarno,SLOVAKIA_NIKE_LIGA___ROUND_19,https://static.flashscore.com/res/image/data/WxnOKTzS-Qoijdizi.png,https://www.flashscore.com/team/komarno/Uu7c0kf9/
K0H6jm7P,Royale Union SG,BELGIUM_JUPILER_PRO_LEAGUE___ROUND_24,https://static.flashscore.com/res/image/data/0UfH7zXg-KrZtIamS.png,https://www.flashscore.com/team/royale-union-sg/407h8Ird/
407h8Ird,RAAL La Louviere,BELGIUM_JUPILER_PRO_LEAGUE___ROUND_24,https://static.flashscore.com/res/image/data/jLWSjaXg-2LLiS83t.png,https://www.flashscore.com/team/raal-la-louviere/K0H6jm7P/
8EyXqyoo,Beveren,BELGIUM_CHALLENGER_PRO_LEAGUE___ROUND_24,https://static.flashscore.com/res/image/data/AND1LGDa-YXZ1fKJ8.png,https://www.flashscore.com/team/sk-beveren/QaqfE8WE/
QaqfE8WE,Lommel SK,BELGIUM_CHALLENGER_PRO_LEAGUE___ROUND_24,https://static.flashscore.com/res/image/data/211UWHjl-GvU2Aojq.png,https://www.flashscore.com/team/lommel-sk/8EyXqyoo/
A7jUvKwQ,ASVO,BENIN_LIGUE_1___ROUND_17,https://static.flashscore.com/res/image/data/prdE8ah5-hAfaVTf9.png,https://www.flashscore.com/team/asvo/A7jUvKwQ/
tjs0Zc1m,JS Pobe,BENIN_LIGUE_1___ROUND_17,https://static.flashscore.com/res/image/data/h6rHs7ZA-A9F7RDGM.png,https://www.flashscore.com/team/js-pob/tjs0Zc1m/
xUZ5xVki,Renaissance Zemamra,MOROCCO_BOTOLA_PRO___ROUND_11,https://static.flashscore.com/res/image/data/EZigHDFG-63LcsWgs.png,https://www.flashscore.com/team/renaissance-zemamra/M50CklHf/
M50CklHf,IR Tanger,MOROCCO_BOTOLA_PRO___ROUND_11,https://static.flashscore.com/res/image/data/lr4B35Cr-EkEyeNaE.png,https://www.flashscore.com/team/ir-tanger/xUZ5xVki/
djPpJ4we,Guadalajara,SPAIN_PRIMERA_RFEF___GROUP_1___ROUND_23,https://static.flashscore.com/res/image/data/hU82jLYA-6eLP6Vlk.png,https://www.flashscore.com/team/guadalajara/WhhSCpFP/
WhhSCpFP,Arenas Getxo,SPAIN_PRIMERA_RFEF___GROUP_1___ROUND_23,https://static.flashscore.com/res/image/data/CAJQzFh5-jiiAIOFt.png,https://www.flashscore.com/team/arenas-getxo/djPpJ4we/
SEksXw9A,Servette Geneve FC W,SWITZERLAND_SUPER_LEAGUE_WOMEN___ROUND_13,https://static.flashscore.com/res/image/data/4l8Zigjl-8M2EDAek.png,https://www.flashscore.com/team/servette/SEksXw9A/
j5mhWQQc,Zurich W,SWITZERLAND_SUPER_LEAGUE_WOMEN___ROUND_13,https://static.flashscore.com/res/image/data/8vRMwBXg-rXtfmGF6.png,https://www.flashscore.com/team/zurich/j5mhWQQc/
tbHQUIAt,Bobo-Dioulasso,BURKINA_FASO_PREMIER_LEAGUE___ROUND_18,https://static.flashscore.com/res/image/data/OUqZxdjl-KQaTyG74.png,https://www.flashscore.com/team/bobo-dioulasso/tbHQUIAt/
vohISguL,Sporting Cascades,BURKINA_FASO_PREMIER_LEAGUE___ROUND_18,https://static.flashscore.com/res/image/data/6stoEzxS-QLiQikuk.png,https://www.flashscore.com/team/sporting-cascades/vohISguL/
joO7tfhP,Figueirense,BRAZIL_CATARINENSE___RELEGATION_GROUP___ROUND_2,https://static.flashscore.com/res/image/data/UoIPgeyB-lGWmJ4QE.png,https://www.flashscore.com/team/figueirense/joO7tfhP/
QamTNjZC,Joinville,BRAZIL_CATARINENSE___RELEGATION_GROUP___ROUND_2,https://static.flashscore.com/res/image/data/llyvUmAr-UXxReu5B.png,https://www.flashscore.com/team/joinville/QamTNjZC/
I1DMa0eR,Dep. Pasto,COLOMBIA_PRIMERA_A___APERTURA___ROUND_5,https://static.flashscore.com/res/image/data/rPpVBxZg-hjn5AE5Q.png,https://www.flashscore.com/team/dep-pasto/GdemgvJl/
GdemgvJl,Bucaramanga,COLOMBIA_PRIMERA_A___APERTURA___ROUND_5,https://static.flashscore.com/res/image/data/Eovph8GG-0xyt4W2g.png,https://www.flashscore.com/team/bucaramanga/I1DMa0eR/
rN3Jxc8g,A. Italiano,CHILE_LIGA_DE_PRIMERA___ROUND_2,https://static.flashscore.com/res/image/data/fZSe86hl-6kEqxN0C.png,https://www.flashscore.com/team/a-italiano/rN3Jxc8g/
6BcMMext,U. De Concepcion,CHILE_LIGA_DE_PRIMERA___ROUND_2,https://static.flashscore.com/res/image/data/nmpUa0FG-Eq74Jcjl.png,https://www.flashscore.com/team/u-de-concepcion/6BcMMext/
EogpxU3p,Sp. Luqueno,PARAGUAY_COPA_DE_PRIMERA___APERTURA___ROUND_4,https://static.flashscore.com/res/image/data/6BPq9VdM-4GUthy9Q.png,https://www.flashscore.com/team/sp-luqueno/EogpxU3p/
pxVtG7lc,Ameliano,PARAGUAY_COPA_DE_PRIMERA___APERTURA___ROUND_4,https://static.flashscore.com/res/image/data/ruDjw6fM-zLKsTEF7.png,https://www.flashscore.com/team/sportivo-ameliano/pxVtG7lc/
UBvz183i,Betim,BRAZIL_MINEIRO___ROUND_7,https://static.flashscore.com/res/image/data/4K0tqhwS-tnFvEl3l.png,https://www.flashscore.com/team/betim-fc/UBvz183i/
lrhr3fXN,Itabirito,BRAZIL_MINEIRO___ROUND_7,https://static.flashscore.com/res/image/data/j7sgGUkl-zVwGfYh0.png,https://www.flashscore.com/team/itabirito/lrhr3fXN/
